type,commit_hash,modifications,lines_added,lines_removed,lines_added+removed,diff_methods,changed_methods,complexity
other,371b9f83d8500da05234ad628c3ce56a893fed27,2.0,8.0,2.0,10.0,0.0,2.0,143.0
other,8c2a4cfffacc9bb8272182d327b05488a1810c80,3.0,7.0,5.0,12.0,0.0,6.0,120.0
other,47a0b72c247f37f62a91b5c5377899100d0ba3f3,1.0,39.0,3.0,42.0,2.0,3.0,250.0
other,0bf3175826d6f3ad991fab8574fe342170020c41,1.0,1.0,7.0,8.0,0.0,3.0,79.0
other,1b1602d6460bc8212a738475d8113f65b4fd7c89,1.0,8.0,0.0,8.0,1.0,1.0,175.0
other,3b9b8fff78bf2e40af88ee91091e1b9cc7308660,2.0,80.0,4.0,84.0,7.0,9.0,94.5
other,3254a95dcfa0ca09f6300390a1be46e603162092,1.0,1.0,0.0,1.0,0.0,1.0,79.0
other,bb2f6fd96d940945022acc5d6bc8b6ffe1fd6f69,4.0,14.0,13.0,27.0,0.0,3.0,66.25
other,bb992a8355f32a9dc746db477d30265531c8e058,2.0,7.0,7.0,14.0,0.0,2.0,122.0
other,5d56601f34dc40a98c66488025e0bc97a2fcc670,1.0,26.0,0.0,26.0,1.0,1.0,20.0
other,2d0b92264bf9647bb1ffa2f2f95c933476cb583e,1.0,0.0,2.0,2.0,0.0,0.0,79.0
other,f2006dc94229283ed79f028b3bf22e0a2c7accc6,1.0,7.0,5.0,12.0,0.0,1.0,405.0
other,c6ded84d35254bd60537eded89b68895e31dc5bf,1.0,8.0,0.0,8.0,0.0,1.0,37.0
other,4adcbdfebf245c5678838b6dc5704b9fbaa76cb9,5.0,155.0,53.0,208.0,14.0,32.0,37.6
other,674a41e853f6625978ac761c30a1df59624d362e,1.0,1.0,2.0,3.0,0.0,1.0,74.0
other,32bf2f0fc10cc35e92d70a50436d84ef591a399a,3.0,20.0,3.0,23.0,1.0,4.0,11.833.333.333.333.300
other,2a0185689ce03b6a511225f634810d891b43236b,1.0,2.0,0.0,2.0,0.0,1.0,53.0
other,8c2f43f7c631551b535bed79d59db9df1330ec25,1.0,3.0,4.0,7.0,0.0,1.0,35.0
